Condition,Channel,AcceptRate_pct,LatMean_C1_ms,LatSD_C1_ms,AmpMean_C1,AmpSD_C1,LatMean_C2_ms,LatSD_C2_ms,AmpMean_C2,AmpSD_C2,LatMean_C3_ms,LatSD_C3_ms,AmpMean_C3,AmpSD_C3,RTCorr_C1,RTCorrP_C1,RTCorr_C2,RTCorrP_C2,RTCorr_C3,RTCorrP_C3,VarReductionRatio,AROrder,PSDPeakFreq_Hz
Go,1,22.61,54.4237,45.4666,82.6668,26.9069,-26.1017,38.4930,77.4106,26.7322,NaN,NaN,NaN,NaN,-0.0266,0.8415,0.2607,0.0462,NaN,NaN,0.7318,3,0.0000
Go,2,40.23,-4.4286,42.5219,862.8081,419.1993,-0.3810,40.2770,440.2809,324.4057,NaN,NaN,NaN,NaN,0.2033,0.0376,0.2625,0.0068,NaN,NaN,0.4109,14,7.0312
Go,3,66.67,-6.0632,26.7584,1590.9283,525.6149,-1.4138,38.9991,590.4432,314.3983,NaN,NaN,NaN,NaN,0.2524,0.0008,-0.0253,0.7405,NaN,NaN,0.4570,8,0.0000
Go,4,65.13,-15.3118,65.7511,219.3177,113.7768,-6.6529,21.4549,260.0682,93.0602,NaN,NaN,NaN,NaN,-0.0832,0.2806,0.2001,0.0089,NaN,NaN,0.7005,20,5.4688
Go,5,83.91,-1.4795,45.7360,251.0915,106.2462,0.5114,25.1995,530.4910,134.6416,NaN,NaN,NaN,NaN,0.1609,0.0172,0.8199,0.0000,NaN,NaN,0.4542,20,5.4688
Go,6,27.20,-15.3239,31.4474,85.9486,26.0859,4.2113,28.1759,66.0605,23.4480,NaN,NaN,NaN,NaN,-0.0044,0.9708,0.6309,0.0000,NaN,NaN,0.7309,3,0.0000
Go,7,35.63,41.4194,58.7192,112.1463,51.1561,-6.2473,31.1513,102.0297,27.8979,NaN,NaN,NaN,NaN,-0.0368,0.7264,0.4063,0.0001,NaN,NaN,0.7126,17,7.4219
Go,8,95.40,1.6145,61.8019,99.6006,32.0263,-0.4177,15.6592,290.2957,67.3959,NaN,NaN,NaN,NaN,-0.3092,0.0000,0.6451,0.0000,NaN,NaN,0.6792,13,0.0000
Go,9,45.59,33.9664,50.0891,75.4478,38.5320,-19.2857,18.8186,106.7978,41.6073,NaN,NaN,NaN,NaN,-0.1354,0.1420,0.4503,0.0000,NaN,NaN,0.7249,20,6.2500
Go,10,50.57,-5.3106,28.9517,1908.6249,844.0387,14.3030,35.4039,616.5499,286.1820,NaN,NaN,NaN,NaN,0.2267,0.0090,-0.0677,0.4406,NaN,NaN,0.3827,20,6.2500
Go,11,63.22,6.4061,23.1050,2011.3007,817.3369,2.9152,45.2499,291.9084,116.4097,NaN,NaN,NaN,NaN,0.1801,0.0206,0.0097,0.9017,NaN,NaN,0.3860,8,0.0000
Go,12,62.45,-15.6871,34.8607,647.6546,261.8538,-0.1656,40.2305,307.5462,184.3001,NaN,NaN,NaN,NaN,0.1163,0.1393,0.1933,0.0134,NaN,NaN,0.5047,20,5.4688
Go,13,60.15,-6.9809,45.4622,427.2545,249.8993,4.4841,35.2072,325.8686,151.3274,NaN,NaN,NaN,NaN,0.0754,0.3479,0.0767,0.3397,NaN,NaN,0.4633,17,4.6875
Go,14,17.24,21.8889,40.7544,60.8599,17.0728,-28.1333,29.2517,68.5143,22.6278,NaN,NaN,NaN,NaN,0.2466,0.1024,0.1288,0.3992,NaN,NaN,0.7954,3,0.0000
Go,15,100.00,0.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.0000
Go,16,4.21,-33.2727,16.7038,208.3284,30.6872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0686,0.8413,NaN,NaN,NaN,NaN,0.8825,7,10.9375
