Condition,Channel,AcceptRate_pct,LatMean_C1_ms,LatSD_C1_ms,AmpMean_C1,AmpSD_C1,LatMean_C2_ms,LatSD_C2_ms,AmpMean_C2,AmpSD_C2,LatMean_C3_ms,LatSD_C3_ms,AmpMean_C3,AmpSD_C3,RTCorr_C1,RTCorrP_C1,RTCorr_C2,RTCorrP_C2,RTCorr_C3,RTCorrP_C3,VarReductionRatio,AROrder,PSDPeakFreq_Hz
Nogo,1,19.32,51.7000,53.0023,89.6723,30.6183,-11.1750,43.3619,68.6402,32.7423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6527,3,0.0000
Nogo,2,48.31,-7.1600,33.7976,799.5097,413.3421,-6.7800,45.2373,369.1140,227.3919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4602,12,7.0312
Nogo,3,63.77,-3.3106,27.1825,1699.6643,510.7780,-0.1439,41.5751,664.9055,352.4902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4715,10,0.0000
Nogo,4,45.41,1.8830,40.7409,248.8934,97.9817,4.1489,47.1851,168.8608,65.0927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6528,8,16.0156
Nogo,5,24.15,-17.7800,35.2103,305.0931,63.0730,9.5200,44.2605,159.3366,66.5461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7349,4,0.0000
Nogo,6,23.19,-20.4583,53.2177,54.3026,21.2141,-13.3750,44.8433,72.8490,24.8192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6620,5,0.0000
Nogo,7,23.19,13.1250,53.2188,94.9981,36.3488,-3.6042,31.6992,146.3255,46.3567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6756,6,19.1406
Nogo,8,30.43,-6.0476,65.8345,103.4404,34.7468,-8.4286,34.8086,142.3212,47.0432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7282,6,26.1719
Nogo,9,29.47,1.2787,54.0639,90.7231,46.9612,-0.8197,36.1656,115.7935,61.4692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5023,10,7.4219
Nogo,10,53.62,-9.1261,14.5390,1804.1130,697.2236,1.8468,39.7234,550.9574,234.8875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4522,10,7.8125
Nogo,11,61.84,-1.1328,25.4553,1785.8970,747.3916,-3.4219,36.6023,554.4287,281.8352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4860,20,5.8594
Nogo,12,62.80,-7.4462,39.0106,679.1946,207.5599,-4.6923,42.6685,408.9017,215.0235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5020,17,4.6875
Nogo,13,45.89,-20.2947,50.9060,310.6267,122.9222,2.0842,32.0065,267.6218,141.1293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5555,2,0.0000
Nogo,14,9.18,-28.2105,46.9557,98.0939,22.9060,4.6842,51.8985,52.5334,35.5025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6695,2,0.0000
Nogo,15,100.00,0.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.0000
Nogo,16,100.00,0.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.0000
